Tarih,Olay_Ismi,Hisse,Grup,T0_Goreceli_Gun,Duzeltilmis_Kapanis,Log_Getiri,Volatilite_10g,Volatilite_30g,Log_Hacim,Hacim_Degisimi,RSI_14,SMA_Uzaklik_20
2015-11-16,ABD_Secimleri_2016,CL=F,Emtia_Makro,-358,41.740002,0.02424949,0.02474971,0.0254929,13.190358,0.11288582,37.6284,-0.06369516
2015-11-17,ABD_Secimleri_2016,CL=F,Emtia_Makro,-357,40.669998,-0.02596927,0.0185982,0.02388047,12.804126,-0.32038813,34.4149,-0.08267645
2015-11-18,ABD_Secimleri_2016,CL=F,Emtia_Makro,-356,40.75,0.00196516,0.01834164,0.02385889,12.435274,-0.30847314,34.8628,-0.07623603
2015-11-19,ABD_Secimleri_2016,CL=F,Emtia_Makro,-355,40.540001,-0.00516668,0.01799021,0.02271645,11.785674,-0.47774712,34.2025,-0.07592713
2015-11-20,ABD_Secimleri_2016,CL=F,Emtia_Makro,-354,40.389999,-0.00370695,0.01778636,0.02263514,12.977668,2.29365998,33.7113,-0.07490754
2015-11-23,ABD_Secimleri_2016,CL=F,Emtia_Makro,-351,41.75,0.03311724,0.02225478,0.0220871,13.154232,0.19311116,41.8631,-0.04130979
2015-11-24,ABD_Secimleri_2016,CL=F,Emtia_Makro,-350,42.869999,0.0264728,0.02415065,0.02274708,12.97225,-0.16638447,47.5801,-0.01521854
2015-11-25,ABD_Secimleri_2016,CL=F,Emtia_Makro,-349,43.040001,0.00395768,0.02235033,0.02277708,12.856205,-0.1095644,48.4094,-0.0080092
2015-11-26,ABD_Secimleri_2016,CL=F,Emtia_Makro,-348,43.040001,0.0,0.02007506,0.0227753,12.856205,0.0,48.4094,-0.00454475
2015-11-27,ABD_Secimleri_2016,CL=F,Emtia_Makro,-347,41.709999,-0.03138905,0.02121285,0.02299977,12.665003,-0.17403525,42.3328,-0.02983081
2015-11-30,ABD_Secimleri_2016,CL=F,Emtia_Makro,-344,41.650002,-0.00143948,0.01977317,0.02250235,12.819933,0.16757722,42.0762,-0.02614101
2015-12-01,ABD_Secimleri_2016,CL=F,Emtia_Makro,-343,41.849998,0.00479036,0.01759423,0.02253427,12.937329,0.1245653,43.3097,-0.01449416
